id,name,acronym,structure_id_path,VolumeInMillimeters_totals,cell_num_totals,density_totals
8,Basic cell groups and regions,grey,"[997, 8]",393.9912343750001,84312,213.99460862053596
567,Cerebrum,CH,"[997, 8, 567]",258.091359375,63593,246.39724535528146
688,Cerebral cortex,CTX,"[997, 8, 567, 688]",206.70882812500005,56360,272.6540540683547
695,Cortical plate,CTXpl,"[997, 8, 567, 688, 695]",197.87629687500004,56045,283.2325088204175
315,Isocortex,Isocortex,"[997, 8, 567, 688, 695, 315]",121.81248437500003,46028,377.85946355303525
184,Frontal association cortex,FrA,"[997, 8, 567, 688, 695, 315, 184]",2.2767500000000007,586,257.3844295596793
68,"Frontal pole, layer 1",FrA-1,"[997, 8, 567, 688, 695, 315, 184, 68]",0.6963750000000002,87,124.93268712977918
667,"Frontal pole, layer 2/3",FrA-2/3,"[997, 8, 567, 688, 695, 315, 184, 667]",1.1518750000000002,313,271.73087357569176
2325,"Frontal pole, layer 5",FrA-5,"[997, 8, 567, 688, 695, 315, 184, 2325]",0.4285000000000001,186,434.07234539089836
500,motor cortex,M,"[997, 8, 567, 688, 695, 315, 500]",18.318375000000003,9384,512.272513255133
985,Primary motor cortex,M1,"[997, 8, 567, 688, 695, 315, 500, 985]",8.815250000000002,4313,489.2657610391082
320,Primary motor cortex Layer 1,M1-1,"[997, 8, 567, 688, 695, 315, 500, 985, 320]",1.1312968750000003,64,56.57224148170654
943,Primary motor cortex Layer 2/3,M1-2/3,"[997, 8, 567, 688, 695, 315, 500, 985, 943]",3.044265625000001,2488,817.2742810509511
648,Primary motor cortex Layer 5,M1-5,"[997, 8, 567, 688, 695, 315, 500, 985, 648]",2.0343906250000003,970,476.80125344659405
844,Primary motor cortex Layer 6a,M1-6a,"[997, 8, 567, 688, 695, 315, 500, 985, 844]",1.5861093750000004,525,330.9986109879717
882,Primary motor cortex Layer 6b,M1-6b,"[997, 8, 567, 688, 695, 315, 500, 985, 882]",0.3985625000000001,129,323.6631644974125
2017,"Frontal cortex, area 3",FrC3,"[997, 8, 567, 688, 695, 315, 500, 985, 2017]",0.6206250000000001,137,220.74521651560923
2334,"Frontal cortex, area 3, layer1",FrC3-1,"[997, 8, 567, 688, 695, 315, 500, 985, 2017, 2334]",0.10412500000000002,20,192.07683073229288
2335,"Frontal cortex, area 3, layer2/3",FrC3-2/3,"[997, 8, 567, 688, 695, 315, 500, 985, 2017, 2335]",0.25925000000000004,93,358.7270973963355
2336,"Frontal cortex, area 3, layer5",FrC3-5,"[997, 8, 567, 688, 695, 315, 500, 985, 2017, 2336]",0.19281250000000005,19,98.5413290113452
2337,"Frontal cortex, area 3, layer6a",FrC3-6a,"[997, 8, 567, 688, 695, 315, 500, 985, 2017, 2337]",0.06062500000000001,5,82.47422680412369
2351,"Frontal cortex, area 3, layer6b",FrC3-6b,"[997, 8, 567, 688, 695, 315, 500, 985, 2017, 2351]",0.003812500000000001,0,0.0
993,Secondary motor cortex,M2,"[997, 8, 567, 688, 695, 315, 500, 993]",9.503125000000002,5071,533.6139427819795
656,"Secondary motor cortex, layer 1",M2-1,"[997, 8, 567, 688, 695, 315, 500, 993, 656]",1.7642187500000004,142,80.48888495261711
962,"Secondary motor cortex, layer 2/3",M2-2/3,"[997, 8, 567, 688, 695, 315, 500, 993, 962]",3.450328125000001,2591,750.9430715375801
767,"Secondary motor cortex, layer 5",M2-5,"[997, 8, 567, 688, 695, 315, 500, 993, 767]",2.7650781250000005,1583,572.4973864888536
1021,"Secondary motor cortex, layer 6a",M2-6a,"[997, 8, 567, 688, 695, 315, 500, 993, 1021]",1.4277812500000004,698,488.8704064435639
1085,"Secondary motor cortex, layer 6b",M2-6b,"[997, 8, 567, 688, 695, 315, 500, 993, 1085]",0.09571875000000002,57,595.4946131243877
453,Somatosensory cortex,S,"[997, 8, 567, 688, 695, 315, 453]",39.77740625000001,12808,321.99183424635675
322,Primary somatosensory cortex,S1,"[997, 8, 567, 688, 695, 315, 453, 322]",32.862062500000015,12112,368.5709014764364
793,Primary somatosensory cortex layer 1,S1-1,"[997, 8, 567, 688, 695, 315, 453, 322, 793]",0.19075000000000006,13,68.15203145478372
346,Primary somatosensory cortex layer 2/3,S1-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 346]",0.29906250000000006,279,932.9153605015672
865,Primary somatosensory cortex layer 4,S1-4,"[997, 8, 567, 688, 695, 315, 453, 322, 865]",0.30668750000000006,170,554.3101691461177
921,Primary somatosensory cortex layer 5,S1-5,"[997, 8, 567, 688, 695, 315, 453, 322, 921]",0.29318750000000005,49,167.1285440204647
686,Primary somatosensory cortex layer 6a,S1-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 686]",0.23587500000000006,53,224.6952835188129
719,Primary somatosensory cortex layer 6b,S1-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 719]",0.07825000000000001,18,230.0319488817891
2338,"Primary somatosensory area, jaw",S1J,"[997, 8, 567, 688, 695, 315, 453, 322, 2338]",3.5977968750000007,820,227.9172583916372
2339,"Primary somatosensory area, jaw, layer 1",S1J-1,"[997, 8, 567, 688, 695, 315, 453, 322, 2338, 2339]",0.5133125000000002,74,144.16169487398022
2340,"Primary somatosensory area, jaw, layer 2/3",S1J-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 2338, 2340]",0.7886406250000002,371,470.4297347096466
2341,"Primary somatosensory area, jaw, layer 4",S1J-4,"[997, 8, 567, 688, 695, 315, 453, 322, 2338, 2341]",0.6358906250000002,192,301.9387178416099
2342,"Primary somatosensory area, jaw, layer 5",S1J-5,"[997, 8, 567, 688, 695, 315, 453, 322, 2338, 2342]",0.9527968750000002,121,126.99453910362581
2343,"Primary somatosensory area, jaw, layer 6a",S1J-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 2338, 2343]",0.5975312500000002,46,76.98342136917523
2344,"Primary somatosensory area, jaw, layer 6b",S1J-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 2338, 2344]",0.10962500000000003,16,145.95210946408207
329,"Primary somatosensory cortex, barrel field",S1BF,"[997, 8, 567, 688, 695, 315, 453, 322, 329]",10.572562500000002,4292,405.95645568422975
981,"Primary somatosensory cortex, barrel field, layer 1",S1BF-1,"[997, 8, 567, 688, 695, 315, 453, 322, 329, 981]",1.2588750000000002,24,19.064641048555256
201,"Primary somatosensory cortex, barrel field, layer 2/3",S1BF-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 329, 201]",2.2144375000000007,1569,708.5320764302445
1047,"Primary somatosensory cortex, barrel field, layer 4",S1BF-4,"[997, 8, 567, 688, 695, 315, 453, 322, 329, 1047]",2.4461875000000006,1665,680.6510130560309
1070,"Primary somatosensory cortex, barrel field, layer 5 ",S1BF-5,"[997, 8, 567, 688, 695, 315, 453, 322, 329, 1070]",2.0676250000000005,492,237.95417447554556
1038,"Primary somatosensory cortex, barrel field, layer 6a",S1BF-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 329, 1038]",1.8993750000000005,411,216.38696939782818
1062,"Primary somatosensory cortex, barrel field, layer 6b",S1BF-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 329, 1062]",0.6860625000000001,131,190.94470255989793
337,"Primary somatosensory cortex, hindlimb region",S1HL,"[997, 8, 567, 688, 695, 315, 453, 322, 337]",3.549187500000001,1753,493.91586102453016
1030,"Primary somatosensory cortex, hindlimb region, layer 1",S1HL-1,"[997, 8, 567, 688, 695, 315, 453, 322, 337, 1030]",0.3933125000000001,2,5.085015096138565
113,"Primary somatosensory cortex, hindlimb region, layer 2/3",S1HL-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 337, 113]",0.8276875000000002,362,437.3631352412594
1094,"Primary somatosensory cortex, hindlimb region, layer 4",S1HL-4,"[997, 8, 567, 688, 695, 315, 453, 322, 337, 1094]",0.5869375000000001,763,1299.968054520285
1128,"Primary somatosensory cortex, hindlimb region, layer 5",S1HL-5,"[997, 8, 567, 688, 695, 315, 453, 322, 337, 1128]",0.7447500000000001,351,471.29909365558905
478,"Primary somatosensory cortex, hindlimb region, layer 6a",S1HL-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 337, 478]",0.7583125000000002,222,292.7552954751504
510,"Primary somatosensory cortex, hindlimb region, layer 6b",S1HL-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 337, 510]",0.23818750000000005,53,222.5137759118341
345,"Primary somatosensory cortex, upper lip region",S1ULp,"[997, 8, 567, 688, 695, 315, 453, 322, 345]",6.210140625000002,1299,209.17400723111638
878,"Primary somatosensory cortex, upper lip region, layer 1",S1ULp-1,"[997, 8, 567, 688, 695, 315, 453, 322, 345, 878]",0.8079218750000002,46,56.936198193668154
657,"Primary somatosensory cortex, upper lip region, layer 2/3",S1ULp-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 345, 657]",1.3767343750000003,790,573.8216567738419
950,"Primary somatosensory cortex, upper lip region, layer 4",S1ULp-4,"[997, 8, 567, 688, 695, 315, 453, 322, 345, 950]",1.2608750000000002,157,124.51670466937641
974,"Primary somatosensory cortex, upper lip region, layer 5",S1ULp-5,"[997, 8, 567, 688, 695, 315, 453, 322, 345, 974]",1.1655000000000002,110,94.38009438009436
1102,"Primary somatosensory cortex, upper lip region, layer 6a",S1ULp-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 345, 1102]",1.2679843750000004,166,130.91643972347842
2,"Primary somatosensory cortex, upper lip region, layer 6b",S1ULp-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 345, 2]",0.33112500000000006,30,90.60022650056624
2000,"Primary somatosensory cortex, dysgranular zone ",S1DZ,"[997, 8, 567, 688, 695, 315, 453, 322, 2000]",1.5922031250000002,697,437.75821630798515
2287,"Primary somatosensory cortex, dysgranular zone 1",S1DZ-1,"[997, 8, 567, 688, 695, 315, 453, 322, 2000, 2287]",0.18175000000000005,0,0.0
2288,"Primary somatosensory cortex, dysgranular zone 2/3",S1DZ-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 2000, 2288]",0.3484531250000001,271,777.7229720640328
2289,"Primary somatosensory cortex, dysgranular zone 4",S1DZ-4,"[997, 8, 567, 688, 695, 315, 453, 322, 2000, 2289]",0.30845312500000005,253,820.2218732587
2290,"Primary somatosensory cortex, dysgranular zone 5",S1DZ-5,"[997, 8, 567, 688, 695, 315, 453, 322, 2000, 2290]",0.3068437500000001,85,277.0139525409919
2291,"Primary somatosensory cortex, dysgranular zone 6a",S1DZ-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 2000, 2291]",0.3415156250000001,62,181.54367022006676
2292,"Primary somatosensory cortex, dysgranular zone 6b",S1DZ-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 2000, 2292]",0.10518750000000003,26,247.17765894236476
2352,"Primary somatosensory cortex, oral dysgranular zone ",S1DZO,"[997, 8, 567, 688, 695, 315, 453, 322, 2352]",0.11318750000000002,8,70.67918277194919
2353,"Primary somatosensory cortex, oral dysgranular zone 1",S1DZO-1,"[997, 8, 567, 688, 695, 315, 453, 322, 2352, 2353]",0.014375000000000004,0,0.0
2354,"Primary somatosensory cortex, oral dysgranular zone 2/3",S1DZO-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 2352, 2354]",0.020437500000000004,5,244.6483180428134
2355,"Primary somatosensory cortex, oral dysgranular zone 4",S1DZO-4,"[997, 8, 567, 688, 695, 315, 453, 322, 2352, 2355]",0.021562500000000005,2,92.75362318840577
2356,"Primary somatosensory cortex, oral dysgranular zone 5",S1DZO-5,"[997, 8, 567, 688, 695, 315, 453, 322, 2352, 2356]",0.026500000000000006,1,37.73584905660376
2357,"Primary somatosensory cortex, oral dysgranular zone 6a",S1DZO-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 2352, 2357]",0.024000000000000007,0,0.0
2358,"Primary somatosensory cortex, oral dysgranular zone 6b",S1DZO-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 2352, 2358]",0.006312500000000001,0,0.0
2041,"Primary somatosensory cortex, shoulder region",S1Sh,"[997, 8, 567, 688, 695, 315, 453, 322, 2041]",0.7711875000000002,435,564.0651592511547
2310,"Primary somatosensory cortex, shoulder region 1",S1Sh-1,"[997, 8, 567, 688, 695, 315, 453, 322, 2041, 2310]",0.09006250000000002,2,22.206800832755025
2311,"Primary somatosensory cortex, shoulder region 2/3",S1Sh-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 2041, 2311]",0.16500000000000004,78,472.72727272727263
2312,"Primary somatosensory cortex, shoulder region 4",S1Sh-4,"[997, 8, 567, 688, 695, 315, 453, 322, 2041, 2312]",0.17531250000000004,253,1443.1372549019604
2313,"Primary somatosensory cortex, shoulder region 5",S1Sh-5,"[997, 8, 567, 688, 695, 315, 453, 322, 2041, 2313]",0.15787500000000004,48,304.03800475059376
2314,"Primary somatosensory cortex, shoulder region 6a",S1Sh-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 2041, 2314]",0.13175000000000003,35,265.65464895635665
2315,"Primary somatosensory cortex, shoulder region 6b",S1Sh-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 2041, 2315]",0.05118750000000001,19,371.1843711843711
369,"Primary somatosensory cortex, forelimb region",S1FL,"[997, 8, 567, 688, 695, 315, 453, 322, 369]",3.728609375000001,1409,377.8888744547019
450,"Primary somatosensory cortex, forelimb region, layer 1",S1FL-1,"[997, 8, 567, 688, 695, 315, 453, 322, 369, 450]",0.4231406250000001,5,11.816402643920089
