id,name,acronym,structure_id_path,VolumeInMillimeters_totals,cell_num_totals,density_totals
8,Basic cell groups and regions,grey,"[997, 8]",393.9912343750001,140646,356.9774851034716
567,Cerebrum,CH,"[997, 8, 567]",258.091359375,89348,346.18749041566974
688,Cerebral cortex,CTX,"[997, 8, 567, 688]",206.70882812500005,72457,350.52687714036153
695,Cortical plate,CTXpl,"[997, 8, 567, 688, 695]",197.87629687500004,69943,353.4683087595051
315,Isocortex,Isocortex,"[997, 8, 567, 688, 695, 315]",121.81248437500003,50693,416.15603080503206
184,Frontal association cortex,FrA,"[997, 8, 567, 688, 695, 315, 184]",2.2767500000000007,1057,464.2582628747116
68,"Frontal pole, layer 1",FrA-1,"[997, 8, 567, 688, 695, 315, 184, 68]",0.6963750000000002,666,956.3812600969303
667,"Frontal pole, layer 2/3",FrA-2/3,"[997, 8, 567, 688, 695, 315, 184, 667]",1.1518750000000002,327,283.8849701573521
2325,"Frontal pole, layer 5",FrA-5,"[997, 8, 567, 688, 695, 315, 184, 2325]",0.4285000000000001,64,149.35822637106182
500,motor cortex,M,"[997, 8, 567, 688, 695, 315, 500]",18.318375000000003,7647,417.44969190771553
985,Primary motor cortex,M1,"[997, 8, 567, 688, 695, 315, 500, 985]",8.815250000000002,4063,460.9058166245993
320,Primary motor cortex Layer 1,M1-1,"[997, 8, 567, 688, 695, 315, 500, 985, 320]",1.1312968750000003,1469,1298.5097302597956
943,Primary motor cortex Layer 2/3,M1-2/3,"[997, 8, 567, 688, 695, 315, 500, 985, 943]",3.044265625000001,1240,407.32319473600455
648,Primary motor cortex Layer 5,M1-5,"[997, 8, 567, 688, 695, 315, 500, 985, 648]",2.0343906250000003,583,286.572299751922
844,Primary motor cortex Layer 6a,M1-6a,"[997, 8, 567, 688, 695, 315, 500, 985, 844]",1.5861093750000004,405,255.34178561929244
882,Primary motor cortex Layer 6b,M1-6b,"[997, 8, 567, 688, 695, 315, 500, 985, 882]",0.3985625000000001,88,220.79347655637443
2017,"Frontal cortex, area 3",FrC3,"[997, 8, 567, 688, 695, 315, 500, 985, 2017]",0.6206250000000001,278,447.9355488418932
2334,"Frontal cortex, area 3, layer1",FrC3-1,"[997, 8, 567, 688, 695, 315, 500, 985, 2017, 2334]",0.10412500000000002,170,1632.6530612244894
2335,"Frontal cortex, area 3, layer2/3",FrC3-2/3,"[997, 8, 567, 688, 695, 315, 500, 985, 2017, 2335]",0.25925000000000004,73,281.58148505303757
2336,"Frontal cortex, area 3, layer5",FrC3-5,"[997, 8, 567, 688, 695, 315, 500, 985, 2017, 2336]",0.19281250000000005,26,134.84602917341974
2337,"Frontal cortex, area 3, layer6a",FrC3-6a,"[997, 8, 567, 688, 695, 315, 500, 985, 2017, 2337]",0.06062500000000001,9,148.45360824742266
2351,"Frontal cortex, area 3, layer6b",FrC3-6b,"[997, 8, 567, 688, 695, 315, 500, 985, 2017, 2351]",0.003812500000000001,0,0.0
993,Secondary motor cortex,M2,"[997, 8, 567, 688, 695, 315, 500, 993]",9.503125000000002,3584,377.13909898059836
656,"Secondary motor cortex, layer 1",M2-1,"[997, 8, 567, 688, 695, 315, 500, 993, 656]",1.7642187500000004,994,563.4221946683198
962,"Secondary motor cortex, layer 2/3",M2-2/3,"[997, 8, 567, 688, 695, 315, 500, 993, 962]",3.450328125000001,1234,357.6471440669138
767,"Secondary motor cortex, layer 5",M2-5,"[997, 8, 567, 688, 695, 315, 500, 993, 767]",2.7650781250000005,769,278.11149097279116
1021,"Secondary motor cortex, layer 6a",M2-6a,"[997, 8, 567, 688, 695, 315, 500, 993, 1021]",1.4277812500000004,555,388.7150079887937
1085,"Secondary motor cortex, layer 6b",M2-6b,"[997, 8, 567, 688, 695, 315, 500, 993, 1085]",0.09571875000000002,32,334.3127652628142
453,Somatosensory cortex,S,"[997, 8, 567, 688, 695, 315, 453]",39.77740625000001,17623,443.0404508840994
322,Primary somatosensory cortex,S1,"[997, 8, 567, 688, 695, 315, 453, 322]",32.862062500000015,14909,453.6842445601214
793,Primary somatosensory cortex layer 1,S1-1,"[997, 8, 567, 688, 695, 315, 453, 322, 793]",0.19075000000000006,380,1992.136304062909
346,Primary somatosensory cortex layer 2/3,S1-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 346]",0.29906250000000006,103,344.40961337513056
865,Primary somatosensory cortex layer 4,S1-4,"[997, 8, 567, 688, 695, 315, 453, 322, 865]",0.30668750000000006,96,313.02221316486646
921,Primary somatosensory cortex layer 5,S1-5,"[997, 8, 567, 688, 695, 315, 453, 322, 921]",0.29318750000000005,46,156.89618418247707
686,Primary somatosensory cortex layer 6a,S1-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 686]",0.23587500000000006,37,156.86274509803917
719,Primary somatosensory cortex layer 6b,S1-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 719]",0.07825000000000001,29,370.6070287539935
2338,"Primary somatosensory area, jaw",S1J,"[997, 8, 567, 688, 695, 315, 453, 322, 2338]",3.5977968750000007,1820,505.86513447899966
2339,"Primary somatosensory area, jaw, layer 1",S1J-1,"[997, 8, 567, 688, 695, 315, 453, 322, 2338, 2339]",0.5133125000000002,1163,2265.676366735662
2340,"Primary somatosensory area, jaw, layer 2/3",S1J-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 2338, 2340]",0.7886406250000002,264,334.75323440255175
2341,"Primary somatosensory area, jaw, layer 4",S1J-4,"[997, 8, 567, 688, 695, 315, 453, 322, 2338, 2341]",0.6358906250000002,146,229.59923335872418
2342,"Primary somatosensory area, jaw, layer 5",S1J-5,"[997, 8, 567, 688, 695, 315, 453, 322, 2338, 2342]",0.9527968750000002,158,165.8275799865527
2343,"Primary somatosensory area, jaw, layer 6a",S1J-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 2338, 2343]",0.5975312500000002,73,122.16934260760416
2344,"Primary somatosensory area, jaw, layer 6b",S1J-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 2338, 2344]",0.10962500000000003,16,145.95210946408207
329,"Primary somatosensory cortex, barrel field",S1BF,"[997, 8, 567, 688, 695, 315, 453, 322, 329]",10.572562500000002,4549,430.2646591117337
981,"Primary somatosensory cortex, barrel field, layer 1",S1BF-1,"[997, 8, 567, 688, 695, 315, 453, 322, 329, 981]",1.2588750000000002,2118,1682.4545725350013
201,"Primary somatosensory cortex, barrel field, layer 2/3",S1BF-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 329, 201]",2.2144375000000007,1313,592.9270977392677
1047,"Primary somatosensory cortex, barrel field, layer 4",S1BF-4,"[997, 8, 567, 688, 695, 315, 453, 322, 329, 1047]",2.4461875000000006,550,224.83967398247268
1070,"Primary somatosensory cortex, barrel field, layer 5 ",S1BF-5,"[997, 8, 567, 688, 695, 315, 453, 322, 329, 1070]",2.0676250000000005,243,117.52614714950725
1038,"Primary somatosensory cortex, barrel field, layer 6a",S1BF-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 329, 1038]",1.8993750000000005,207,108.98321816386967
1062,"Primary somatosensory cortex, barrel field, layer 6b",S1BF-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 329, 1062]",0.6860625000000001,118,171.99599161883935
337,"Primary somatosensory cortex, hindlimb region",S1HL,"[997, 8, 567, 688, 695, 315, 453, 322, 337]",3.549187500000001,1388,391.0754221916987
1030,"Primary somatosensory cortex, hindlimb region, layer 1",S1HL-1,"[997, 8, 567, 688, 695, 315, 453, 322, 337, 1030]",0.3933125000000001,157,399.1736850468774
113,"Primary somatosensory cortex, hindlimb region, layer 2/3",S1HL-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 337, 113]",0.8276875000000002,733,885.5999395907269
1094,"Primary somatosensory cortex, hindlimb region, layer 4",S1HL-4,"[997, 8, 567, 688, 695, 315, 453, 322, 337, 1094]",0.5869375000000001,181,308.3803641784687
1128,"Primary somatosensory cortex, hindlimb region, layer 5",S1HL-5,"[997, 8, 567, 688, 695, 315, 453, 322, 337, 1128]",0.7447500000000001,150,201.40986908358505
478,"Primary somatosensory cortex, hindlimb region, layer 6a",S1HL-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 337, 478]",0.7583125000000002,132,174.07071622846777
510,"Primary somatosensory cortex, hindlimb region, layer 6b",S1HL-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 337, 510]",0.23818750000000005,35,146.94305956441875
345,"Primary somatosensory cortex, upper lip region",S1ULp,"[997, 8, 567, 688, 695, 315, 453, 322, 345]",6.210140625000002,2929,471.6479347035719
878,"Primary somatosensory cortex, upper lip region, layer 1",S1ULp-1,"[997, 8, 567, 688, 695, 315, 453, 322, 345, 878]",0.8079218750000002,1783,2206.896551724137
657,"Primary somatosensory cortex, upper lip region, layer 2/3",S1ULp-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 345, 657]",1.3767343750000003,628,456.1518993088263
950,"Primary somatosensory cortex, upper lip region, layer 4",S1ULp-4,"[997, 8, 567, 688, 695, 315, 453, 322, 345, 950]",1.2608750000000002,216,171.30960642411023
974,"Primary somatosensory cortex, upper lip region, layer 5",S1ULp-5,"[997, 8, 567, 688, 695, 315, 453, 322, 345, 974]",1.1655000000000002,149,127.84212784212782
1102,"Primary somatosensory cortex, upper lip region, layer 6a",S1ULp-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 345, 1102]",1.2679843750000004,122,96.21569666424317
2,"Primary somatosensory cortex, upper lip region, layer 6b",S1ULp-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 345, 2]",0.33112500000000006,31,93.62023405058511
2000,"Primary somatosensory cortex, dysgranular zone ",S1DZ,"[997, 8, 567, 688, 695, 315, 453, 322, 2000]",1.5922031250000002,760,477.3260321292234
2287,"Primary somatosensory cortex, dysgranular zone 1",S1DZ-1,"[997, 8, 567, 688, 695, 315, 453, 322, 2000, 2287]",0.18175000000000005,304,1672.6272352132046
2288,"Primary somatosensory cortex, dysgranular zone 2/3",S1DZ-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 2000, 2288]",0.3484531250000001,256,734.6755750863189
2289,"Primary somatosensory cortex, dysgranular zone 4",S1DZ-4,"[997, 8, 567, 688, 695, 315, 453, 322, 2000, 2289]",0.30845312500000005,76,246.39076034648696
2290,"Primary somatosensory cortex, dysgranular zone 5",S1DZ-5,"[997, 8, 567, 688, 695, 315, 453, 322, 2000, 2290]",0.3068437500000001,61,198.7982482941236
2291,"Primary somatosensory cortex, dysgranular zone 6a",S1DZ-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 2000, 2291]",0.3415156250000001,52,152.26243308779792
2292,"Primary somatosensory cortex, dysgranular zone 6b",S1DZ-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 2000, 2292]",0.10518750000000003,11,104.57516339869278
2352,"Primary somatosensory cortex, oral dysgranular zone ",S1DZO,"[997, 8, 567, 688, 695, 315, 453, 322, 2352]",0.11318750000000002,28,247.37713970182213
2353,"Primary somatosensory cortex, oral dysgranular zone 1",S1DZO-1,"[997, 8, 567, 688, 695, 315, 453, 322, 2352, 2353]",0.014375000000000004,18,1252.1739130434778
2354,"Primary somatosensory cortex, oral dysgranular zone 2/3",S1DZO-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 2352, 2354]",0.020437500000000004,2,97.85932721712537
2355,"Primary somatosensory cortex, oral dysgranular zone 4",S1DZO-4,"[997, 8, 567, 688, 695, 315, 453, 322, 2352, 2355]",0.021562500000000005,2,92.75362318840577
2356,"Primary somatosensory cortex, oral dysgranular zone 5",S1DZO-5,"[997, 8, 567, 688, 695, 315, 453, 322, 2352, 2356]",0.026500000000000006,3,113.20754716981129
2357,"Primary somatosensory cortex, oral dysgranular zone 6a",S1DZO-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 2352, 2357]",0.024000000000000007,2,83.33333333333331
2358,"Primary somatosensory cortex, oral dysgranular zone 6b",S1DZO-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 2352, 2358]",0.006312500000000001,1,158.4158415841584
2041,"Primary somatosensory cortex, shoulder region",S1Sh,"[997, 8, 567, 688, 695, 315, 453, 322, 2041]",0.7711875000000002,285,369.5599319231703
2310,"Primary somatosensory cortex, shoulder region 1",S1Sh-1,"[997, 8, 567, 688, 695, 315, 453, 322, 2041, 2310]",0.09006250000000002,50,555.1700208188756
2311,"Primary somatosensory cortex, shoulder region 2/3",S1Sh-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 2041, 2311]",0.16500000000000004,172,1042.4242424242423
2312,"Primary somatosensory cortex, shoulder region 4",S1Sh-4,"[997, 8, 567, 688, 695, 315, 453, 322, 2041, 2312]",0.17531250000000004,26,148.30659536541887
2313,"Primary somatosensory cortex, shoulder region 5",S1Sh-5,"[997, 8, 567, 688, 695, 315, 453, 322, 2041, 2313]",0.15787500000000004,10,63.34125098970703
2314,"Primary somatosensory cortex, shoulder region 6a",S1Sh-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 2041, 2314]",0.13175000000000003,25,189.7533206831119
2315,"Primary somatosensory cortex, shoulder region 6b",S1Sh-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 2041, 2315]",0.05118750000000001,2,39.07203907203906
369,"Primary somatosensory cortex, forelimb region",S1FL,"[997, 8, 567, 688, 695, 315, 453, 322, 369]",3.728609375000001,2004,537.4657944692851
450,"Primary somatosensory cortex, forelimb region, layer 1",S1FL-1,"[997, 8, 567, 688, 695, 315, 453, 322, 369, 450]",0.4231406250000001,625,1477.050330490011
854,"Primary somatosensory cortex, forelimb region, layer 2/3",S1FL-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 369, 854]",0.8654531250000002,836,965.9679719799958
577,"Primary somatosensory cortex, forelimb region, layer 4",S1FL-4,"[997, 8, 567, 688, 695, 315, 453, 322, 369, 577]",0.6387500000000002,128,200.39138943248528
625,"Primary somatosensory cortex, forelimb region, layer 5",S1FL-5,"[997, 8, 567, 688, 695, 315, 453, 322, 369, 625]",0.7164843750000002,196,273.5579544215461
945,"Primary somatosensory cortex, forelimb region, layer 6a",S1FL-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 369, 945]",0.8469531250000002,161,190.0931648371921
1026,"Primary somatosensory cortex, forelimb region, layer 6b",S1FL-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 369, 1026]",0.23782812500000006,58,243.87359569016485
361,"Primary somatosensory cortex, trunk region",S1Tr,"[997, 8, 567, 688, 695, 315, 453, 322, 361]",1.3233750000000004,455,343.8178898649286
1006,"Primary somatosensory cortex, trunk region, layer 1",S1Tr-1,"[997, 8, 567, 688, 695, 315, 453, 322, 361, 1006]",0.17837500000000003,13,72.88016818500348
670,"Primary somatosensory cortex, trunk region, layer 2/3",S1Tr-2/3,"[997, 8, 567, 688, 695, 315, 453, 322, 361, 670]",0.2951250000000001,188,637.0182126217702
1086,"Primary somatosensory cortex, trunk region, layer 4",S1Tr-4,"[997, 8, 567, 688, 695, 315, 453, 322, 361, 1086]",0.27243750000000005,159,583.6200963523743
1111,"Primary somatosensory cortex, trunk region, layer 5",S1Tr-5,"[997, 8, 567, 688, 695, 315, 453, 322, 361, 1111]",0.27056250000000004,57,210.67221067221064
9,"Primary somatosensory cortex, trunk region, layer 6a",S1Tr-6a,"[997, 8, 567, 688, 695, 315, 453, 322, 361, 9]",0.20725000000000005,27,130.27744270205062
461,"Primary somatosensory cortex, trunk region, layer 6b",S1Tr-6b,"[997, 8, 567, 688, 695, 315, 453, 322, 361, 461]",0.09962500000000002,11,110.41405269761604
378,Secondary somatosensory cortex,S2,"[997, 8, 567, 688, 695, 315, 453, 378]",6.915343750000002,2714,392.4606061701559
873,"Secondary somatosensory cortex, layer 1",S2-1,"[997, 8, 567, 688, 695, 315, 453, 378, 873]",1.0072656250000003,1820,1806.871946017218
806,"Secondary somatosensory cortex, layer 2/3",S2-2/3,"[997, 8, 567, 688, 695, 315, 453, 378, 806]",1.4731718750000002,292,198.21176670237475
1035,"Secondary somatosensory cortex, layer 4",S2-4,"[997, 8, 567, 688, 695, 315, 453, 378, 1035]",1.5074062500000003,211,139.97553745050476
1090,"Secondary somatosensory cortex, layer 5",S2-5,"[997, 8, 567, 688, 695, 315, 453, 378, 1090]",1.3182500000000004,164,124.407358240091
862,"Secondary somatosensory cortex, layer 6a",S2-6a,"[997, 8, 567, 688, 695, 315, 453, 378, 862]",1.2043593750000003,144,119.56564044681427
893,"Secondary somatosensory cortex, layer 6b",S2-6b,"[997, 8, 567, 688, 695, 315, 453, 378, 893]",0.4048906250000001,83,204.99363253965186
44,"Cingulate cortex, area 24a (infralimbic)",A24a (IL),"[997, 8, 567, 688, 695, 315, 44]",2.4372968750000004,1018,417.6758319603556
707,"Cingulate cortex, area 24a (infralimbic), layer 1",A24a (IL)-1,"[997, 8, 567, 688, 695, 315, 44, 707]",0.6315000000000002,404,639.746634996041
556,"Cingulate cortex, area 24a (infralimbic), layer 4",A24a (IL)-2/3,"[997, 8, 567, 688, 695, 315, 44, 556]",0.6350156250000002,221,348.0229325065819
827,"Cingulate cortex, area 24a (infralimbic), layer 5",A24a (IL)-5,"[997, 8, 567, 688, 695, 315, 44, 827]",0.6208437500000001,173,278.65304273418224
1054,"Cingulate cortex, area 24a (infralimbic), layer 6a",A24a (IL)-6a,"[997, 8, 567, 688, 695, 315, 44, 1054]",0.4125156250000001,163,395.13654785803556
1081,"Cingulate cortex, area 24a (infralimbic), layer 6b",A24a (IL)-6b,"[997, 8, 567, 688, 695, 315, 44, 1081]",0.13742187500000003,57,414.78112563956785
1057,Dysgranular insular cortex,DI,"[997, 8, 567, 688, 695, 315, 1057]",1.9020625000000004,526,276.5419117405447
36,"Dysgranular insular cortex, layer 1",DI-1,"[997, 8, 567, 688, 695, 315, 1057, 36]",0.2849062500000001,225,789.7334649555772
180,"Dysgranular insular cortex, layer 2/3",DI-2/3,"[997, 8, 567, 688, 695, 315, 1057, 180]",0.5079218750000001,88,173.25499123265755
148,"Dysgranular insular cortex, layer 4",DI-4,"[997, 8, 567, 688, 695, 315, 1057, 148]",0.22076562500000005,22,99.65319555524097
187,"Dysgranular insular cortex, layer 5",DI-5,"[997, 8, 567, 688, 695, 315, 1057, 187]",0.4703750000000001,64,136.0616529364868
638,"Dysgranular insular cortex, layer 6a",DI-6a,"[997, 8, 567, 688, 695, 315, 1057, 638]",0.3999062500000001,112,280.06564038446504
662,"Dysgranular insular cortex, layer 6b",DI-6b,"[997, 8, 567, 688, 695, 315, 1057, 662]",0.018187500000000006,15,824.7422680412368
