id,name,acronym,structure_id_path,VolumeInMillimeters_totals,cell_num_totals,density_totals
8,Basic cell groups and regions,grey,"[997, 8]",393.9912343750001,96554,245.06636588797835
567,Cerebrum,CH,"[997, 8, 567]",258.091359375,47294,183.2451892792081
688,Cerebral cortex,CTX,"[997, 8, 567, 688]",206.70882812500005,45460,219.92287611688084
695,Cortical plate,CTXpl,"[997, 8, 567, 688, 695]",197.87629687500004,45420,229.53734589389532
315,Isocortex,Isocortex,"[997, 8, 567, 688, 695, 315]",121.81248437500003,42827,351.5813688534336
184,Frontal association cortex,FrA,"[997, 8, 567, 688, 695, 315, 184]",2.2767500000000007,695,305.2596903480838
68,"Frontal pole, layer 1",FrA-1,"[997, 8, 567, 688, 695, 315, 184, 68]",0.6963750000000002,117,168.01292407108235
667,"Frontal pole, layer 2/3",FrA-2/3,"[997, 8, 567, 688, 695, 315, 184, 667]",1.1518750000000002,485,421.0526315789473
2325,"Frontal pole, layer 5",FrA-5,"[997, 8, 567, 688, 695, 315, 184, 2325]",0.4285000000000001,93,217.03617269544918
500,motor cortex,M,"[997, 8, 567, 688, 695, 315, 500]",18.318375000000003,9851,537.7660409288487
985,Primary motor cortex,M1,"[997, 8, 567, 688, 695, 315, 500, 985]",8.815250000000002,3716,421.5422137772609
320,Primary motor cortex Layer 1,M1-1,"[997, 8, 567, 688, 695, 315, 500, 985, 320]",1.1312968750000003,292,258.1108517602861
943,Primary motor cortex Layer 2/3,M1-2/3,"[997, 8, 567, 688, 695, 315, 500, 985, 943]",3.044265625000001,2722,894.1401097350035
648,Primary motor cortex Layer 5,M1-5,"[997, 8, 567, 688, 695, 315, 500, 985, 648]",2.0343906250000003,356,174.99097549173968
844,Primary motor cortex Layer 6a,M1-6a,"[997, 8, 567, 688, 695, 315, 500, 985, 844]",1.5861093750000004,169,106.55002906088993
882,Primary motor cortex Layer 6b,M1-6b,"[997, 8, 567, 688, 695, 315, 500, 985, 882]",0.3985625000000001,24,60.216402697193026
2017,"Frontal cortex, area 3",FrC3,"[997, 8, 567, 688, 695, 315, 500, 985, 2017]",0.6206250000000001,153,246.52567975830812
2334,"Frontal cortex, area 3, layer1",FrC3-1,"[997, 8, 567, 688, 695, 315, 500, 985, 2017, 2334]",0.10412500000000002,48,460.9843937575029
2335,"Frontal cortex, area 3, layer2/3",FrC3-2/3,"[997, 8, 567, 688, 695, 315, 500, 985, 2017, 2335]",0.25925000000000004,101,389.5853423336547
2336,"Frontal cortex, area 3, layer5",FrC3-5,"[997, 8, 567, 688, 695, 315, 500, 985, 2017, 2336]",0.19281250000000005,4,20.74554294975688
2337,"Frontal cortex, area 3, layer6a",FrC3-6a,"[997, 8, 567, 688, 695, 315, 500, 985, 2017, 2337]",0.06062500000000001,0,0.0
