MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE_RECORDING,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
2550941002,C57BL/6J,41002,K6_A,L3,370-F,9/16/25,M,CHOW,,,,12/9/25,ARRIVAL_AND_ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
2550941003,C57BL/6J,41003,K6_A,M3,370-F,9/16/25,M,CHOW,,,,12/9/25,ARRIVAL_AND_ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
2550941004,C57BL/6J,41004,K6_A,N3,370-F,9/16/25,M,CHOW,,,,12/9/25,ARRIVAL_AND_ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
2550941005,C57BL/6J,41005,K6_A,H4,370-F,9/16/25,M,CHOW,,,,12/9/25,ARRIVAL_AND_ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
2550941006,C57BL/6J,41006,K6_A,I4,370-F,9/16/25,M,CHOW,,,,12/9/25,ARRIVAL_AND_ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
2550941007,C57BL/6J,41007,K6_A,J4,370-F,9/16/25,M,CHOW,,,,12/9/25,ARRIVAL_AND_ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
2550941008,C57BL/6J,41008,K6_A,K4,370-F,9/16/25,M,CHOW,,,,12/9/25,ARRIVAL_AND_ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
2550941009,C57BL/6J,41009,K6_A,L4,370-F,9/16/25,M,CHOW,,,,12/9/25,ARRIVAL_AND_ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
2550941012,C57BL/6J,41012,K6_A,M4,370-F,9/16/25,M,CHOW,,,,12/9/25,ARRIVAL_AND_ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
2550941010,C57BL/6J,41010,K6_A,N4,370-F,9/16/25,M,CHOW,,,,12/9/25,ARRIVAL_AND_ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
