MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
B00002574802,C57BL/6J,4802,5B,A4,370-F,,M,CHOW,,,,,24.9,2/11/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574803,C57BL/6J,4803,5B,B4,370-F,,M,CHOW,,,,,25.3,2/11/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574804,C57BL/6J,4804,5B,C4,370-F,,M,CHOW,,,,,24.43,2/11/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574805,C57BL/6J,4805,5B,D4,370-F,,M,CHOW,,,,,24.47,2/11/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574806,C57BL/6J,4806,5B,E4,370-F,,M,CHOW,,,,,25.8,2/11/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574807,C57BL/6J,4807,5B,F4,370-F,,M,CHOW,,,,,19.5,2/11/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574808,C57BL/6J,4808,5B,G4,370-F,,M,CHOW,,,,,18.8,2/11/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574809,C57BL/6J,4809,5B,G3,370-F,,M,CHOW,,,,,23.02,2/11/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574802,C57BL/6J,4802,5B,A4,370-F,,M,CHOW,,,,,25.03,2/12/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574803,C57BL/6J,4803,5B,B4,370-F,,M,CHOW,,,,,27.75,2/12/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574804,C57BL/6J,4804,5B,C4,370-F,,M,CHOW,,,,,23.87,2/12/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574805,C57BL/6J,4805,5B,D4,370-F,,M,CHOW,,,,,25.1,2/12/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574806,C57BL/6J,4806,5B,E4,370-F,,M,CHOW,,,,,25.47,2/12/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574807,C57BL/6J,4807,5B,F4,370-F,,M,CHOW,,,,,20.12,2/12/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574808,C57BL/6J,4808,5B,G4,370-F,,M,CHOW,,,,,17.18,2/12/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574809,C57BL/6J,4809,5B,G3,370-F,,M,CHOW,,,,,23.2,2/12/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574802,C57BL/6J,4802,5B,A4,370-F,,M,CHOW,,,,,24.5,2/14/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574803,C57BL/6J,4803,5B,B4,370-F,,M,CHOW,,,,,25.01,2/14/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574804,C57BL/6J,4804,5B,C4,370-F,,M,CHOW,,,,,25.26,2/14/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574805,C57BL/6J,4805,5B,D4,370-F,,M,CHOW,,,,,24.74,2/14/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574806,C57BL/6J,4806,5B,E4,370-F,,M,CHOW,,,,,,2/14/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574807,C57BL/6J,4807,5B,F4,370-F,,M,CHOW,,,,,25.7,2/14/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574808,C57BL/6J,4808,5B,G4,370-F,,M,CHOW,,,,,19.37,2/14/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574809,C57BL/6J,4809,5B,G3,370-F,,M,CHOW,,,,,19.85,2/14/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574808,C57BL/6J,4808,5B,G4,370-F,,M,CHOW,,,,,13.66,2/15/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574802,C57BL/6J,4802,5B,A4,370-F,,M,CHOW,,,,,23.01,2/19/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574803,C57BL/6J,4803,5B,B4,370-F,,M,CHOW,,,,,24.2,2/19/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574804,C57BL/6J,4804,5B,C4,370-F,,M,CHOW,,,,,23.58,2/19/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574805,C57BL/6J,4805,5B,D4,370-F,,M,CHOW,,,,,22.07,2/19/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574806,C57BL/6J,4806,5B,E4,370-F,,M,CHOW,,,,,23.15,2/19/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574807,C57BL/6J,4807,5B,F4,370-F,,M,CHOW,,,,,18.17,2/19/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574808,C57BL/6J,4808,5B,G4,370-F,,M,CHOW,,,,,15,2/19/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574809,C57BL/6J,4809,5B,G3,370-F,,M,CHOW,,,,,22.91,2/19/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574802,C57BL/6J,4802,5B,A4,370-F,,M,CHOW,,,,,22.6,2/20/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574803,C57BL/6J,4803,5B,B4,370-F,,M,CHOW,,,,,23.8,2/20/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574804,C57BL/6J,4804,5B,C4,370-F,,M,CHOW,,,,,23.58,2/20/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574805,C57BL/6J,4805,5B,D4,370-F,,M,CHOW,,,,,20.8,2/20/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574806,C57BL/6J,4806,5B,E4,370-F,,M,CHOW,,,,,21.6,2/20/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574807,C57BL/6J,4807,5B,F4,370-F,,M,CHOW,,,,,16.97,2/20/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
B00002574808,C57BL/6J,4808,5B,G4,370-F,,M,CHOW,,,,,15.96,2/20/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2409-42368A
