Mouse ID,BPA Exposure,Sex,Diet,0 Minutes,15 Minutes,30 Minutes,60 Minutes,90 Minutes
9353,YES,M,HFD,132,177,200,168,156
9354,YES,F,HFD,112,177,136,161,128
9355,YES,M,HFD,112,163,242,270,186
9356,YES,F,HFD,73,157,221,221,142
9357,YES,F,HFD,125,145,144,137,124
9358,YES,M,HFD,111,161,152,160,143
9359,NO,F,HFD,96,171,155,126,109
9360,NO,F,HFD,113,172,139,151,136
9361,NO,M,HFD,127,188,178,223,199
9362,NO,M,HFD,119,170,203,156,164
9363,NO,F,HFD,120,115,90,129,127
9364,NO,M,HFD,116,163,164,164,159
9366,YES,M,LFD,131,169,145,156,157
9367,YES,F,LFD,98,158,161,141,122
9368,YES,M,LFD,121,144,107,143,143
9369,YES,F,LFD,77,129,139,135,105
9370,YES,F,LFD,105,207,176,147,121
9372,NO,F,LFD,101,124,163,120,120
9373,NO,M,LFD,152,174,161,142,176
9374,NO,M,LFD,112,109,107,90,147
9375,NO,F,LFD,113,138,113,127,102
9376,NO,M,LFD,157,159,166,156,130
9377,NO,M,LFD,130,187,191,200,158
9378,NO,F,LFD,75,162,186,132,86
