ID,DATE,Weight,PARAM,VALUE
4017,2024-08-26,32.19,Fat,9.02
4017,2024-08-26,32.19,Lean,24.17
4017,2024-08-26,32.19,FreeWater,0
4017,2024-08-26,32.19,TotalWater,18.72
4018,2024-08-26,28.41,Fat,6.22
4018,2024-08-26,28.41,Lean,22.54
4018,2024-08-26,28.41,FreeWater,0.12
4018,2024-08-26,28.41,TotalWater,17.66
4019,2024-08-26,30.15,Fat,6.79
4019,2024-08-26,30.15,Lean,23.97
4019,2024-08-26,30.15,FreeWater,0.12
4019,2024-08-26,30.15,TotalWater,18.04
4020,2024-08-26,28.6,Fat,4.53
4020,2024-08-26,28.6,Lean,24.59
4020,2024-08-26,28.6,FreeWater,0.14
4020,2024-08-26,28.6,TotalWater,18.55
4021,2024-08-26,31.25,Fat,6.27
4021,2024-08-26,31.25,Lean,25.64
4021,2024-08-26,31.25,FreeWater,0
4021,2024-08-26,31.25,TotalWater,20.66
4022,2024-08-26,34.41,Fat,9.15
4022,2024-08-26,34.41,Lean,25.84
4022,2024-08-26,34.41,FreeWater,0.27
4022,2024-08-26,34.41,TotalWater,20.12
7859,2024-08-26,29.71,Fat,5.15
7859,2024-08-26,29.71,Lean,25.21
7859,2024-08-26,29.71,FreeWater,0
7859,2024-08-26,29.71,TotalWater,20.02
7858,2024-08-26,29.22,Fat,7.49
7858,2024-08-26,29.22,Lean,22.54
7858,2024-08-26,29.22,FreeWater,0.02
7858,2024-08-26,29.22,TotalWater,17.62
4017,2024-07-02,30.4,Fat,7.35
4017,2024-07-02,30.4,Lean,23.79
4017,2024-07-02,30.4,FreeWater,0.04
4017,2024-07-02,30.4,TotalWater,18.61
4018,2024-07-02,26.7,Fat,5.98
4018,2024-07-02,26.7,Lean,21.44
4018,2024-07-02,26.7,FreeWater,0
4018,2024-07-02,26.7,TotalWater,16.76
4019,2024-07-02,30,Fat,6.95
4019,2024-07-02,30,Lean,24.03
4019,2024-07-02,30,FreeWater,0
4019,2024-07-02,30,TotalWater,18.61
4020,2024-07-02,25.4,Fat,3.12
4020,2024-07-02,25.4,Lean,23.44
4020,2024-07-02,25.4,FreeWater,0
4020,2024-07-02,25.4,TotalWater,17.93
4021,2024-07-02,27.6,Fat,3.63
4021,2024-07-02,27.6,Lean,25.03
4021,2024-07-02,27.6,FreeWater,0.02
4021,2024-07-02,27.6,TotalWater,19.69
4022,2024-07-02,32.8,Fat,6.99
4022,2024-07-02,32.8,Lean,26.5
4022,2024-07-02,32.8,FreeWater,0.19
4022,2024-07-02,32.8,TotalWater,21.67
7859,2024-07-02,26.1,Fat,3.99
7859,2024-07-02,26.1,Lean,23.6
7859,2024-07-02,26.1,FreeWater,0
7859,2024-07-02,26.1,TotalWater,17.53
7858,2024-07-02,28.2,Fat,6.37
7858,2024-07-02,28.2,Lean,22.75
7858,2024-07-02,28.2,FreeWater,0.16
7858,2024-07-02,28.2,TotalWater,17.03
