MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL
2475262007,C57BL/6J,2007,6A,K2,370-F,5/21/24,F,CHOW,30,,283.05,,22.86,12/18/24,INDIVIDUALLY_HOUSED,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,
2475262005,C57BL/6J,2005,6A,L2,370-F,5/21/24,F,CHOW,30,,314.01,,24.06,12/18/24,INDIVIDUALLY_HOUSED,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,
2475262006,C57BL/6J,2006,6A,M2,370-F,5/21/24,F,CHOW,30,,297.23,,22.9,12/18/24,INDIVIDUALLY_HOUSED,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,
2475261005,C57BL/6J,1005,6A,H3,370-F,5/21/24,M,CHOW,30,,334.09,,32.57,12/18/24,INDIVIDUALLY_HOUSED,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,
2475261006,C57BL/6J,1006,6A,I3,370-F,5/21/24,M,CHOW,30,,330.86,,36.87,12/18/24,INDIVIDUALLY_HOUSED,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,
2475261007,C57BL/6J,1007,6A,J3,370-F,5/21/24,M,CHOW,30,,329.61,,33.06,12/18/24,INDIVIDUALLY_HOUSED,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,
2475262001,C57BL/6J,2001,6A,K3,370-F,5/21/24,F,CHOW,30,,291.79,,23.36,12/18/24,INDIVIDUALLY_HOUSED,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,
2475262002,C57BL/6J,2002,6A,L3,370-F,5/21/24,F,CHOW,30,,305.03,,25.06,12/18/24,INDIVIDUALLY_HOUSED,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,
2475262003,C57BL/6J,2003,6A,M3,370-F,5/21/24,F,CHOW,30,,277.25,,22.73,12/18/24,INDIVIDUALLY_HOUSED,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,
2475262004,C57BL/6J,2004,6A,N3,370-F,5/21/24,F,CHOW,30,,347.97,,24.03,12/18/24,INDIVIDUALLY_HOUSED,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,
2475261003,C57BL/6J,1003,6A,H4,370-F,5/21/24,M,CHOW,30,,294.45,,32.89,12/18/24,INDIVIDUALLY_HOUSED,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,
2475261004,C57BL/6J,1004,6A,I4,370-F,5/21/24,M,CHOW,30,,351.02,,42.65,12/18/24,INDIVIDUALLY_HOUSED,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,
2475261001,C57BL/6J,1001,6A,J4,370-F,5/21/24,M,CHOW,30,,300.47,,33.93,12/18/24,INDIVIDUALLY_HOUSED,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,
2475261002,C57BL/6J,1002,6A,K4,370-F,5/21/24,M,CHOW,30,,336.44,,30.63,12/18/24,INDIVIDUALLY_HOUSED,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,
2475262007,C57BL/6J,2007,6A,K2,370-F,5/21/24,F,CHOW,30.3,,283.05,273.72,22.62,12/20/24,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,
